"038CAOTJ5","2024-10-03"
As Of Date,Account Number,Account Name,Swap Account Number,Swap Account Name,Swap Number,Swap Description,Basket Id,Basket Description,Event,SEDOL,CUSIP,Stock,Stock Description,Listing Currency,Quantity,Trade Id,Listing Mark Price,Mark FX,Mark Price,Notional,Rate,Amount,Swap Settlement Currency,Financing Amount,RIC Code,Security Id,Exchange Id,ISIN,Quick,Valoren,Country Of Issue,Issue Type,ISO Domicile,Divisor,Contract Size,Effective Trade Date,Valuation Date,Payment Date,Realised Interest (Non Local),Unwind/Reset FX (Finance),Realised Performance (Non Local),Unwind/Reset FX (Equity),Tax Amount,Swap Number and  Description,Trade Sub Type,Fee,Fee Currency,Financing Payment Date,Bloomberg ID,Alt Settle Ccy Original Payment ID,Alt Settle Ccy FX Rate,Alt Settle Ccy FX Rate Timestamp
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HDS0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IG9",0,"Dividend","B3YPKQ7","99ANJ25D4.AX","ddr.ax","DICKER DATA LTD","USD",0,1768365327,0.00,0.0000000,0.00,0.00,0.000000,131.18,"USD",0.00,"DDR.AX","ddr","ax","AU000000DDR5","","","AU","STOCK","AU",1,0.00,"2024-08-15","2024-09-02","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HDS0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","DDR AU"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HNM0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IRZ",0,"Dividend","6174556","99VVN2XV7.TYO","7613.tyo","SIIX CORP","USD",0,1753418554,0.00,0.0000000,0.00,0.00,0.000000,1369.19,"USD",0.00,"7613.T","7613","tyo","JP3346700002","7613","000893266","JP","STOCK","JP",1,1.00,"2024-06-27","2024-09-02","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HNM0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","7613 JT"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HNM0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IS0",1,"Dividend","B5LTM93","99AMSSHP9.TYO","4578.tyo","OTSUKA HOLDINGS CO LTD","USD",0,1747369184,0.00,0.0000000,0.00,0.00,0.000000,-122.69,"USD",0.00,"4578.T","4578","tyo","JP3188220002","4578","","JP","STOCK","JP",1,1.00,"2024-06-27","2024-09-02","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HNM0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","4578 JT"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00F4O0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000FZP",0,"Dividend","6412591","573993MT6.BK","advanc_F.bk","ADVANCED INFO-F","USD",0,1769185305,0.00,0.0000000,0.00,0.00,0.000000,2330.94,"USD",0.00,"ADVANC_f.BK","advanc_F","bk","TH0268010Z11","","001306627","TH","STOCK","TH",1,1.00,"2024-08-19","2024-09-03","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00F4O0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","ADVANC/F TB"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00F4O0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000FZP",0,"Dividend","BN72NQ6","99JVYGYV7.BK","itc_F.bk","I-TAIL CORP PCL-FOREIGN","USD",0,1769186193,0.00,0.0000000,0.00,0.00,0.000000,841.55,"USD",0.00,"ITC_f.BK","itc_F","bk","THB056010010","","","TH","STOCK","TH",1,0.00,"2024-08-19","2024-09-03","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00F4O0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","ITC/F TB"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HE10","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IGF",0,"Dividend","B4TXDZ3","99AR94R89.HK","6823.hk","HKT-SS","USD",0,1769185910,0.00,0.0000000,0.00,0.00,0.000000,4897.40,"USD",0.00,"6823.HK","6823","hk","HK0000093390","","013965383","HK","STOCK","KY",1,0.00,"2024-08-09","2024-09-03","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HE10 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","6823 HK"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HNM0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IRZ",0,"Dividend","B18RC03","99AC9HD96.TYO","2492.tyo","INFOMART CORP","USD",0,1750812786,0.00,0.0000000,0.00,0.00,0.000000,18.06,"USD",0.00,"2492.T","2492","tyo","JP3153480003","2492","","JP","STOCK","JP",1,1.00,"2024-06-27","2024-09-03","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HNM0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","2492 JT"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HNM0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IS0",1,"Dividend","6804820","9T7309113.TYO","7309.tyo","SHIMANO INC","USD",0,1745285729,0.00,0.0000000,0.00,0.00,0.000000,-317.91,"USD",0.00,"7309.T","7309","tyo","JP3358000002","7309","000784523","JP","STOCK","JP",1,1.00,"2024-06-27","2024-09-03","2024-09-03",0.00,0.00,0.00,0.0000,0.00,"Q00HNM0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","7309 JT"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HDS0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IG9",0,"Dividend","B015YX4","996994RM3.AX","mfg.ax","MAGELLAN FINANCIAL GROUP LTD","USD",0,1770156621,0.00,0.0000000,0.00,0.00,0.000000,927.94,"USD",0.00,"MFG.AX","mfg","ax","AU000000MFG4","","","AU","STOCK","AU",1,0.00,"2024-08-20","2024-09-04","2024-09-04",0.00,0.00,0.00,0.0000,0.00,"Q00HDS0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","MFG AU"," ",," "
"2024-10-03","038CAOTJ5","NEW HOLLAND TACTICAL ALPHA FUND LP - ZENTIFIC","06178LS4","NEW HOLLAND TACTICAL ALPHA FUND LP","Q00HDS0","(USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP","K000000IG9",0,"Dividend","B015YX4","996994RM3.AX","mfg.ax","MAGELLAN FINANCIAL GROUP LTD","USD",0,1770162771,0.00,0.0000000,0.00,0.00,0.000000,927.94,"USD",0.00,"MFG.AX","mfg","ax","AU000000MFG4","","","AU","STOCK","AU",1,0.00,"2024-08-20","2024-09-04","2024-09-04",0.00,0.00,0.00,0.0000,0.00,"Q00HDS0 - (USD) 06178LS4 / NEW HOLLAND TACTICAL ALPHA FUND LP",,0.00,""," ","MFG AU"," ",," "
