Account Name,Settle CCY,Swap ID,Reference Account ID,Settle Date,Cancel,ISIN,RIC,Security Description,Open Trade,Close Trade,Open Quantity,Close Quantity,Open Price,Close Price,Open Trade Value,Close Trade Value,Gross PnL,Open Commission,Close Commission,Net PnL
BLUEHARBOUR MAP I LP-ZENTIFIC,USD,629756,310129645,10/07/2024,,TH0268010Z11,ADVANC_f.BK,ADVANCED INFO SERVICE PCL COM STK THB 1,531593863,531593862,(100),100,7.9700,7.9434,(797.00),794.34,2.66,0.00,0.00,2.66
BLUEHARBOUR MAP I LP-ZENTIFIC,USD,629818,310129645,10/07/2024,,SG1M51904654,CMLT.SI,CAPITALAND INTEGRATED COMMERCIAL TRUST C,531598009,531598010,100,(100),1.6521,1.6428,165.21,(164.28),(0.93),0.00,0.00,(0.93)
New Holland TAF - Zentific PRT,USD,558383,910062475,10/04/2024,,SG1BA1000003,AEM.SI,AEM HOLDINGS LTD COM STK SGD,498701640,531391482,(200),200,0.0000,1.1152,0.00,223.03,(223.03),0.00,0.00,(223.03)
New Holland TAF - Zentific PRT,USD,558383,910062475,10/04/2024,,SG1BA1000003,AEM.SI,AEM HOLDINGS LTD COM STK SGD,489909820,531391482,(8200),8200,1.6912,1.1152,(13868.07),9144.37,4723.69,0.00,0.00,4723.69
New Holland TAF - Zentific PRT,USD,558383,910062475,10/04/2024,,SG1AF5000000,IFAS.SI,IFAST CORPORATION LTD COM STK SGD,529898870,531391530,(1800),1800,5.6992,5.6887,(10258.51),10239.70,18.81,0.00,0.00,18.81
New Holland TAF - Zentific PRT,USD,558383,910062475,10/04/2024,,SG1AF5000000,IFAS.SI,IFAST CORPORATION LTD COM STK SGD,526720420,531391530,(1000),1000,5.3885,5.6887,(5388.55),5688.72,(300.17),0.00,0.00,(300.17)
New Holland TAF - Zentific PRT,USD,558383,910062475,10/07/2024,,SG2D54973185,SHEN.SI,SHENG SIONG GROUP LTD COM STK SGD,429726386,531594798,(5500),5500,1.2215,1.1890,(6717.98),6539.74,178.24,0.00,0.00,178.24
New Holland TAF - Zentific PRT,USD,558383,910062475,10/07/2024,,SG2D54973185,SHEN.SI,SHENG SIONG GROUP LTD COM STK SGD,484791601,531594798,(36600),36600,1.1437,1.1890,(41857.95),43519.03,(1661.08),0.00,0.00,(1661.08)
New Holland TAF - Zentific PRT,USD,558383,910062475,10/07/2024,,SG2D54973185,SHEN.SI,SHENG SIONG GROUP LTD COM STK SGD,477181531,531594798,(7300),7300,1.1607,1.1890,(8473.35),8680.02,(206.67),0.00,0.00,(206.67)
New Holland TAF - Zentific PRT,USD,558384,910062475,10/04/2024,,TH8859010010,SISB_f.BK,SISB PCL COM STK THB .5,524441786,531385753,14400,(14400),0.9014,1.0757,12979.83,(15490.09),2510.26,0.00,0.00,2510.26
New Holland TAF - Zentific PRT,USD,558384,910062475,10/04/2024,,TH0796010013,TOP_f.BK,THAI OIL PCL COM STK THB 10,525180711,531389923,9600,(9600),1.6245,1.5556,15595.39,(14933.32),(662.07),0.00,0.00,(662.07)
New Holland TAF - Zentific PRT,USD,558385,910062475,10/08/2024,,CNE100002MS8,300593.ZK,BEIJING RELPOW TECHNOLOGY CO LTD COM STK,495180488,529227527,(8500),8500,1.4125,1.3512,(12006.44),11484.96,521.48,0.00,0.00,521.48
New Holland TAF - Zentific PRT,USD,558385,910062475,10/08/2024,,CNE000001CC6,600516.SH,FANGDA CARBON NEW MATERIAL CO LTD COM ST,523991826,529227627,149000,(149000),0.5700,0.6098,84937.35,(90867.20),5929.85,0.00,0.00,5929.85
