comment,bb_code,zen_quantity,fa_quantity,quantity_diff,z_ME_price,fa_ME_price,ME_price_diff,zen_unrealized_pnl_usd,fa_unrealized_pnl_usd,unrealized_pnl_usd_diff,fx_ME
PNL diff: 9828.39,KCE/F TB,40200,40200,0,36,1.311,-34.689,1959.612727,11788,9828.387273,33.745
PNL diff: 92013.27,SAPPE/F TB,-92000,-92000,0,67.75,1.008,-66.742,-1747.270453,90266,92013.27045,33.745
PNL diff: -894.69,CPN/F TB,120700,120700,0,62.75,1.852,-60.898,-17485.30747,-18380,-894.6925261,33.745
PNL diff: 88746.91,GPSC/F TB,121000,121000,0,42.25,1.985,-40.265,-2535.907874,86211,88746.90787,33.745
PNL diff: 853295.27,AAV-R TB,299100,299100,0,2.94,2.94,0,2163.725074,855459,853295.2749,33.745
PNL diff: -846.42,RCL/F TB,-114200,-114200,0,25.75,0.77,-24.98,-5815.584826,-6662,-846.415174,33.745
PNL diff: 843.56,ICHI/F TB,35600,35600,0,15.7,0.489,-15.211,-379.5597559,464,843.5597559,33.745
PNL diff: -8410.61,TCAP/F TB,34400,34400,0,52.5,1.311,-51.189,1000.612666,-7410,-8410.612666,33.745
PNL diff: 8361.7,BCP/F TB,188100,188100,0,34.25,1.059,-33.191,191.3015674,8553,8361.698433,33.745
PNL diff: -734266.08,JMT/F TB,-458000,-458000,0,19.9,2.193,-17.707,21955.07777,-712311,-734266.0778,33.745
PNL diff: -733.8,KTC/F TB,3000,3000,0,47.75,1.171,-46.579,-173.1983908,-907,-733.8016092,33.745
PNL diff: 7303.98,WHA/F TB,-616200,-616200,0,5.85,0.162,-5.688,-110.9814459,7193,7303.981446,33.745
PNL diff: -63782.62,PRM/F TB,1871600,1871600,0,8.8,0.227,-8.573,10790.61812,-52992,-63782.61812,33.745
PNL diff: 63641.81,KKP/F TB,145600,145600,0,54.5,2.052,-52.448,562.1864446,64204,63641.81356,33.745
PNL diff: -6119.41,BCH/F TB,-147500,-147500,0,17.3,0.554,-16.746,7965.407263,1846,-6119.407263,33.745
PNL diff: 5578.72,TLI/F TB,144800,144800,0,11.2,0.37,-10.83,-1043.723482,4535,5578.723482,33.745
PNL diff: -5114.91,GUNKUL/F TB,1726000,1726000,0,2.72,0.078,-2.642,-9833.092375,-14948,-5114.907625,33.745
PNL diff: 4992.44,SINGER/F TB,-29300,-29300,0,11,0.156,-10.844,1042.558985,6035,4992.441015,33.745
PNL diff: 483.26,BPP/F TB,2400,2400,0,12.7,0.578,-12.122,-5.258320109,478,483.2583201,33.745
PNL diff: -4126.99,STA/F TB,-232100,-232100,0,20.7,0.631,-20.069,-1275.008441,-5402,-4126.991559,33.745
PNL diff: -3372.77,IVL/F TB,168100,168100,0,26,0.75,-25.25,3115.765125,-257,-3372.765125,33.745
PNL diff: 33415.32,OSP/F TB,73700,73700,0,20.7,1.067,-19.633,-4420.322954,28995,33415.32295,33.745
PNL diff: -300123.4,OR/F TB,-1164100,-1164100,0,15.4,0.714,-14.686,29666.39879,-270457,-300123.3988,33.745
PNL diff: -29683.98,CBG/F TB,37800,37800,0,79.75,1.578,-78.172,-1687.022522,-31371,-29683.97748,33.745
PNL diff: -2581.61,BGRIM/F TB,-67000,-67000,0,22.2,0.696,-21.504,4469.614314,1888,-2581.614314,33.745
PNL diff: 2412.97,CPALL/F TB,325700,325700,0,63.25,1.882,-61.368,-32247.96567,-29835,2412.965669,33.745
PNL diff: -234.48,PLANB/F TB,52700,52700,0,7.45,0.216,-7.234,-930.5243676,-1165,-234.4756324,33.745
PNL diff: 218632.08,ITC/F TB,1093000,1093000,0,25.25,0.948,-24.302,11192.91936,229825,218632.0806,33.745
PNL diff: -218259.14,EA/F TB,-83600,-83600,0,7.9,2.845,-5.055,-228.8577965,-218488,-218259.1422,33.745
PNL diff: 208.34,KTB/F TB,70300,70300,0,20.5,0.61,-19.89,-1491.343903,-1283,208.3439032,33.745
PNL diff: 189.35,BBL/F TB,12800,12800,0,147,4.371,-142.629,-2690.354384,-2501,189.3543835,33.745
PNL diff: 18538.29,DOHOME/F TB,-240600,-240600,0,10.4,0.231,-10.169,124.7064197,18663,18538.29358,33.745
PNL diff: 1797.64,TU/F TB,-67400,-67400,0,15,0.418,-14.582,-76.6397192,1721,1797.639719,33.745
PNL diff: 1736.04,MINT/F TB,234300,234300,0,26.75,0.8,-25.95,-18153.04213,-16417,1736.042134,33.745
PNL diff: -1688.44,TTA/F TB,-40700,-40700,0,5.5,0.204,-5.296,179.4419749,-1509,-1688.441975,33.745
PNL diff: -1607.02,LH/F TB,-1084300,-1084300,0,5.8,0.173,-5.627,9511.021523,7904,-1607.021523,33.745
PNL diff: 16063.88,CPF/F TB,774400,774400,0,24.8,0.756,-24.044,-23001.88,-6938,16063.88,33.745
PNL diff: -1564.59,STGT/F TB,26400,26400,0,10.6,0.255,-10.345,128.5859512,-1436,-1564.585951,33.745
PNL diff: -1559.96,GLOBAL/F TB,-175500,-175500,0,16.1,0.486,-15.614,-1887.043368,-3447,-1559.956632,33.745
PNL diff: 13803601.73,KBANK-R TB,97100,97100,0,146.5,146.5,0,-22293.72907,13781308,13803601.73,33.745
PNL diff: 12688.31,PTG/F TB,951500,951500,0,9.65,0.299,-9.351,-5732.307495,6956,12688.3075,33.745
PNL diff: -11912.74,GULF/F TB,40200,40200,0,66.5,1.674,-64.826,431.7374744,-11481,-11912.73747,33.745
PNL diff: 10610.67,TOP/F TB,68200,68200,0,41,1.371,-39.629,-4510.672743,6100,10610.67274,33.745
PNL diff: -10608.6,MTC/F TB,71600,71600,0,50.75,1.356,-49.394,984.5991559,-9624,-10608.59916,33.745
PNL diff: -10600.38,IRPC/F TB,-2235600,-2235600,0,1.54,0.05,-1.49,-738.6150096,-11339,-10600.38499,33.745
PNL diff: -102805.62,AMATA/F TB,485200,485200,0,29.25,0.655,-28.595,4685.622571,-98120,-102805.6226,33.745
,AC PM,5360,5360,0,690,11.874,-678.126,-5672.873573,-5673,-0.126427062,58.11
,ADMR IJ,2766100,2766100,0,1400,0.089,-1399.911,-10476.81595,-10477,-0.184048117,15695
,ADRO IJ,738300,738300,0,3620,0.231,-3619.769,-7692.76993,-7693,-0.230069567,15695
,AEM SP,-76900,-76900,0,1.31,0.992,-0.318,1385.17218,1385,-0.172179931,1.3205
,AEONTS-R TB,-8100,-8100,0,140,4.149,-135.851,-581.8546555,-582,-0.145344544,33.745
,ABANK MK,-57500,-57500,0,3.01,0.687,-2.323,131.6851873,132,0.314812709,4.379
,AGI PM,33700,33700,0,9.21,0.158,-9.052,-419.9297559,-420,-0.070244091,58.11
,ALI PM,941000,941000,0,32.7,0.563,-32.137,-75892.94895,-75893,-0.051051513,58.11
,AMM MK,343800,343800,0,5.1,1.165,-3.935,-2781.312488,-2781,0.312487885,4.379
,AMRT IJ,-1284800,-1284800,0,3320,0.212,-3319.788,13127.16785,13127,-0.167852068,15695
,ASII IJ,3259200,3259200,0,5100,0.325,-5099.675,8798.216331,8798,-0.216331297,15695
,AXIATA MK,867600,867600,0,2.26,0.516,-1.744,-36993.7898,-36994,-0.210200063,4.379
,BBCA IJ,830100,830100,0,10250,0.653,-10249.347,-23017.75661,-23018,-0.243387633,15695
,BBNI IJ,-568500,-568500,0,5250,0.335,-5249.665,11752.53401,11753,0.465991596,15695
,BBRI IJ,152300,152300,0,4800,0.306,-4799.694,-1848.789997,-1849,-0.210003269,15695
,BDO PM,16310,16310,0,152.8,2.629,-150.171,-3077.690844,-3078,-0.3091557,58.11
,BAUTO MK,-315400,-315400,0,2.06,0.47,-1.59,10963.45811,10963,-0.45811167,4.379
,BIMB MK,-96500,-96500,0,2.71,0.619,-2.091,798.3983689,798,-0.398368866,4.379
,BMRI IJ,557000,557000,0,6700,0.427,-6699.573,-17420.9207,-17421,-0.07929516,15695
,BURSA MK,224200,224200,0,9.03,2.062,-6.968,-29409.19373,-29409,0.193729786,4.379
,BPI PM,259110,259110,0,143.2,2.464,-140.736,-7002.040777,-7002,0.04077715,58.11
